I_t,I_c,R_t,R_c,log_ratios_infect,log_ratios_recover,
11,5,13,6,0.6931471805599453,0.6931471805599453,
3,8,2,11,-0.8109302162163288,-1.3862943611198906,
3,36,7,29,-2.2246235515243336,-1.3217558399823195,
0,100,0,145,-4.61512051684126,-4.983606621708336,
1,66,7,82,-3.5115454388310208,-2.339399066116762,
5,12,9,26,-0.7731898882334817,-0.9932517730102834,
0,39,0,74,-3.6888794541139363,-4.31748811353631,
7,11,7,26,-0.40546510810816444,-1.2163953243244932,
2,57,4,76,-2.9618307218783095,-2.7343675094195836,
1,7,0,15,-1.3862943611198906,-2.772588722239781,
4,13,10,21,-1.0296194171811581,-0.6931471805599453,
4,18,3,30,-1.3350010667323402,-2.0476928433652555,
1,54,4,74,-3.3141860046725258,-2.70805020110221,
6,38,18,76,-1.717651497074333,-1.3993664426872434,
6,52,8,97,-2.0243817644968085,-2.3877429013343523,
0,35,1,55,-3.58351893845611,-3.332204510175204,
